el,f11,f12,f13,f21,f22,f23
46409, -0.038107, 0.803266, -0.594400, 0.622978, 0.476732, 0.620182
46410, -0.002943, 0.782615, -0.622499, 0.644268, 0.467744, 0.605090
46411, 0.605445, -0.781628, -0.149982, 0.719602, 0.446174, 0.532073
46412, -0.050645, 0.865113, -0.499013, 0.556671, 0.434879, 0.707812
46413, 0.283757, 0.577991, -0.765120, 0.671274, 0.441977, 0.595019
46414, 0.243013, 0.658784, -0.712003, 0.641344, 0.433250, 0.633223
46415, 0.649264, -0.741130, -0.170829, 0.661013, 0.424111, 0.619024
46416, 0.006678, 0.871634, -0.490111, 0.530739, 0.407567, 0.743105
46417, 0.641888, -0.750179, -0.158779, 0.671828, 0.450278, 0.588130
46418, -0.002820, 0.826865, -0.562393, 0.583732, 0.452481, 0.674179
46419, 0.036776, 0.805372, -0.591628, 0.605199, 0.445266, 0.659904
46420, 0.212007, 0.691415, -0.690651, 0.605455, 0.455036, 0.652967
46421, 0.632802, -0.746269, -0.206502, 0.664411, 0.370800, 0.648895
46422, 0.273479, 0.689743, -0.670421, 0.597625, 0.417600, 0.684438
46423, 0.047928, 0.934844, -0.351808, 0.356969, 0.310734, 0.880918
46424, 0.839243, -0.542597, 0.035478, 0.119161, 0.247028, 0.961654
46425, 0.802519, -0.594944, -0.044771, 0.243254, 0.266666, 0.932586
46426, 0.644626, 0.642921, -0.413653, 0.298024, 0.283008, 0.911640
46427, 0.822528, -0.568717, -0.002910, 0.238247, 0.361491, 0.901423
46428, 0.803319, -0.594989, 0.025813, 0.132870, 0.224771, 0.965310
46429, 0.795532, -0.580248, -0.174476, 0.024202, -0.352552, 0.935479
46430, -0.013884, 0.966902, -0.254771, 0.278599, 0.248243, 0.927770
46431, -0.007315, 0.971657, -0.236282, 0.252243, 0.231764, 0.939499
46432, 0.781127, -0.615479, -0.105004, 0.340327, 0.272442, 0.899974
46433, -0.017745, 0.957181, -0.288944, 0.303769, 0.280894, 0.910397
46434, -0.305086, 0.933851, -0.186665, 0.274215, 0.275599, 0.921331
46435, 0.751367, -0.653633, -0.090615, 0.296487, 0.215071, 0.930505
46436, -0.067758, 0.982283, -0.174726, 0.188494, 0.185210, 0.964452
46437, 0.226896, 0.959059, -0.169482, 0.162050, 0.139039, 0.976938
46438, 0.401778, 0.882449, -0.244660, 0.214757, 0.169329, 0.961877
46439, 0.364176, 0.904051, -0.223757, 0.202822, 0.159688, 0.966107
46440, -0.068350, 0.976139, -0.206111, 0.227813, 0.218489, 0.948875
46441, 0.031431, 0.966016, -0.256563, 0.242471, 0.242392, 0.939390
46442, 0.789581, -0.611292, 0.053708, 0.055505, 0.171801, 0.983567
46443, 0.628984, -0.772588, -0.086531, 0.725623, 0.550900, 0.412287
46444, -0.350433, 0.840705, -0.412809, 0.624793, 0.531477, 0.571984
46445, 0.205884, 0.639901, -0.740364, 0.639498, 0.477174, 0.602782
46446, -0.034188, 0.811458, -0.583409, 0.606543, 0.474076, 0.638246
46447, 0.666778, -0.740303, -0.085784, 0.683465, 0.557953, 0.470706
46448, 0.593910, -0.801329, -0.071712, 0.748901, 0.538497, 0.386222
46449, 0.263094, 0.639590, -0.722292, 0.627591, 0.448166, 0.636614
46450, 0.677992, -0.726297, -0.113226, 0.665479, 0.533446, 0.522086
46451, -0.023916, 0.867754, -0.496418, 0.540846, 0.424669, 0.726046
46452, 0.753584, -0.468426, -0.461182, 0.653232, 0.407399, 0.638212
46453, -0.089026, 0.863302, -0.496774, 0.501259, 0.468584, 0.727440
46454, 0.694701, -0.706707, -0.133997, 0.612653, 0.487750, 0.621897
46455, 0.666327, -0.732107, -0.141519, 0.661363, 0.480535, 0.575920
46456, 0.063166, 0.877295, -0.475776, 0.493560, 0.379607, 0.782494
46457, -0.008731, 0.905065, -0.425184, 0.471224, 0.373972, 0.798807
46458, -0.321280, 0.871816, -0.369752, 0.543383, 0.484841, 0.685320
46459, -0.014069, 0.919672, -0.392436, 0.441542, 0.352383, 0.825147
46460, -0.038463, 0.944486, -0.326291, 0.330699, 0.322792, 0.886817
46461, 0.912025, 0.228017, -0.340908, 0.263387, 0.306383, 0.914744
46462, 0.788156, -0.605333, -0.111274, 0.348063, 0.292982, 0.890513
46463, 0.808982, 0.424767, -0.406351, 0.307847, 0.285351, 0.907637
46464, 0.947714, -0.299942, -0.108960, 0.186286, 0.253856, 0.949134
46465, 0.029222, 0.941817, -0.334853, 0.329811, 0.304739, 0.893509
46466, 0.700365, 0.505730, -0.503713, 0.395186, 0.312082, 0.863963
46467, -0.060201, 0.952578, -0.298280, 0.323987, 0.301179, 0.896841
46468, 0.420458, 0.798122, -0.431528, 0.348831, 0.293790, 0.889946
46469, 0.358163, 0.890877, -0.279388, 0.225114, 0.208494, 0.951764
46470, 0.288633, 0.885744, -0.363522, 0.288623, 0.281180, 0.915224
46471, -0.064290, 0.966509, -0.248448, 0.198967, 0.258318, 0.945349
46472, 0.020563, 0.962436, -0.270728, 0.276984, 0.255316, 0.926333
46473, 0.761761, 0.502531, -0.408879, 0.310792, 0.270536, 0.911163
46474, 0.079130, 0.947774, -0.308972, 0.307223, 0.270649, 0.912339
46475, 0.392660, 0.897167, -0.202261, 0.162197, 0.151258, 0.975096
46476, -0.095849, 0.976365, -0.193711, 0.126890, 0.203802, 0.970754
46477, -0.019631, 0.976242, -0.215793, 0.219092, 0.218278, 0.950975
46478, -0.127351, 0.976589, -0.173366, 0.148464, 0.192558, 0.969990
46479, 0.156555, 0.969931, -0.186346, 0.141853, 0.165372, 0.975976
46480, 0.199311, 0.966753, -0.160201, 0.131676, 0.138691, 0.981543
46481, 0.282961, 0.942018, -0.180375, 0.157030, 0.144494, 0.976966
46482, 0.084058, 0.963962, -0.252411, 0.238384, 0.228531, 0.943900
46483, 0.251259, 0.939710, -0.231980, 0.185503, 0.190893, 0.963924
46484, -0.063860, 0.972162, -0.225439, 0.180106, 0.233329, 0.955573
46485, -0.088966, 0.976677, -0.195415, 0.190996, 0.210754, 0.958699
46486, -0.762114, 0.443153, 0.472014, -0.497297, -0.867552, -0.007031
46487, -0.796397, 0.438140, 0.416876, -0.472269, -0.880997, -0.028387
46488, -0.744446, 0.471726, 0.472519, -0.498696, -0.865910, 0.038750
46489, -0.805605, 0.428025, 0.409627, -0.436568, -0.897989, 0.054988
46490, -0.734240, 0.456120, 0.502839, -0.439117, -0.886556, 0.145584
46491, -0.772201, 0.418001, 0.478520, -0.405371, -0.906191, 0.120383
46492, -0.870141, 0.305454, 0.386720, -0.376211, -0.920924, -0.101806
46493, -0.835179, 0.314526, 0.451165, -0.369247, -0.928890, -0.028631
46494, -0.783951, 0.376918, 0.493309, -0.430235, -0.902687, -0.007347
46495, -0.787374, 0.379316, 0.485964, -0.444815, -0.894949, -0.034724
46496, -0.852414, 0.273914, 0.445378, -0.336710, -0.940589, -0.043807
46497, -0.786099, 0.420486, 0.453035, -0.443125, -0.896237, 0.019993
46498, -0.775942, 0.415036, 0.475036, -0.476239, -0.878933, -0.025933
46499, -0.817559, 0.345337, 0.460803, -0.411025, -0.910062, -0.053336
46500, -0.758787, 0.427854, 0.491104, -0.453105, -0.890023, 0.050553
46501, -0.822757, 0.336471, 0.458103, -0.412771, -0.907278, -0.080414
46502, -0.824507, 0.320386, 0.466413, -0.390244, -0.918461, -0.064333
46503, -0.769208, 0.392302, 0.504399, -0.422025, -0.905378, 0.046744
46504, -0.799441, 0.343717, 0.492700, -0.388170, -0.921588, -0.000304
46505, -0.841637, 0.325800, 0.430699, -0.392083, -0.917416, -0.067966
46506, -0.823773, 0.344627, 0.450145, -0.379184, -0.925241, 0.012166
46507, -0.794557, 0.409958, 0.447899, -0.418705, -0.905838, 0.064366
46508, -0.798640, 0.375852, 0.470009, -0.445245, -0.893841, -0.052965
46509, -0.810243, 0.326793, 0.486531, -0.374059, -0.927398, -0.003511
46510, -0.842649, 0.347544, 0.411285, -0.414111, -0.906233, -0.085170
46511, -0.806124, 0.408079, 0.428527, -0.412920, -0.907764, 0.073902
46512, -0.802979, 0.414517, 0.428253, -0.467473, -0.882715, -0.047788
46513, -0.769418, 0.433789, 0.468852, -0.477204, -0.878790, 0.002036
46514, -0.781236, 0.393201, 0.484834, -0.447849, -0.894042, -0.011000
46515, -0.795745, 0.411628, 0.444244, -0.457656, -0.888829, -0.023098
46516, -0.797448, 0.372454, 0.474715, -0.413445, -0.910511, 0.005781
46517, -0.805531, 0.368445, 0.464077, -0.428766, -0.902579, -0.038871
46518, -0.763688, 0.403917, 0.503619, -0.423291, -0.903650, 0.065121
46519, -0.769500, 0.375978, 0.516246, -0.386989, -0.918100, 0.085630
46520, -0.810314, 0.377574, 0.448140, -0.445423, -0.892950, -0.065097
46521, -0.856781, 0.290201, 0.426274, -0.355502, -0.930279, -0.090545
46522, -0.811993, 0.331994, 0.480049, -0.377006, -0.926163, -0.009425
46523, -0.819636, 0.326551, 0.470703, -0.352640, -0.935630, 0.015538
